# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
32,13048444524,11040775897,0.846137321,64686471,7786664,12.03754646,1635936792,77771452,4.753939906,4281054332,38750618,0.905165293,65195405,7910363,12.13331369,0.892389494
32,1.93792E+12,1.68034E+12,0.867084441,3807968631,849796871,22.31627814,2.14898E+11,13949187761,6.491082157,6.27943E+11,3375673633,0.537576738,3812744613,856621860,22.46732858,2.320733638
1,3862464207,2377933562,0.615651935,62100457,3272675,5.269969269,415865542,11720101,2.818242873,1098315346,30844186,2.808317858,58270250,3166093,5.433463903,1
1,8261086870,5695100231,0.689388736,121668533,16398091,13.47767627,537819921,12678967,2.357474408,2574437680,56039937,2.176783592,117325572,16859800,14.37009828,1
1,28293441699,20496727943,0.724433887,377670512,72364233,19.16067861,1104936510,16038505,67762796.2,9676610897,109874752,1.135467295,379352958,74203858,19.56063777,1
1,1.40123E+12,1.04158E+12,0.743336374,18234460408,3895223064,21.36187733,43569017868,217712343,33934004.28,4.63318E+11,5106946562,1.102254823,18253383223,3908902148,21.41467201,1
4,3862464207,2377933562,0.615651935,62100457,3272675,5.269969269,415865542,11720101,2.818242873,1098315346,30844186,2.808317858,58270250,3166093,5.433463903,2.29792582
4,8261086870,5695100231,0.689388736,121668533,16398091,13.47767627,537819921,12678967,2.357474408,2574437680,56039937,2.176783592,117325572,16859800,14.37009828,0.373132101
4,28293441699,20496727943,0.724433887,377670512,72364233,19.16067861,1104936510,16038505,25935450.54,9676610897,109874752,1.135467295,379352958,74203858,19.56063777,0.382738789
4,1.40123E+12,1.04158E+12,0.743336374,18234460408,3895223064,21.36187733,43569017868,217712343,27738213.99,4.63318E+11,5106946562,1.102254823,18253383223,3908902148,21.41467201,0.81741647
8,3862464207,2377933562,0.615651935,62100457,3272675,5.269969269,415865542,11720101,2.818242873,1098315346,30844186,2.808317858,58270250,3166093,5.433463903,0.46936286
8,8261086870,5695100231,0.689388736,121668533,16398091,13.47767627,537819921,12678967,2.357474408,2574437680,56039937,2.176783592,117325572,16859800,14.37009828,0.201273595
8,28293441699,20496727943,0.724433887,377670512,72364233,19.16067861,1104936510,16038505,17930864.11,9676610897,109874752,1.135467295,379352958,74203858,19.56063777,0.264612223
8,1.40123E+12,1.04158E+12,0.743336374,18234460408,3895223064,21.36187733,43569017868,217712343,20116218.53,4.63318E+11,5106946562,1.102254823,18253383223,3908902148,21.41467201,0.592804149
16,3862464207,2377933562,0.615651935,62100457,3272675,5.269969269,415865542,11720101,2.818242873,1098315346,30844186,2.808317858,58270250,3166093,5.433463903,0.292589907
16,8261086870,5695100231,0.689388736,121668533,16398091,13.47767627,537819921,12678967,2.357474408,2574437680,56039937,2.176783592,117325572,16859800,14.37009828,0.193873367
16,28293441699,20496727943,0.724433887,377670512,72364233,19.16067861,1104936510,16038505,17399161.94,9676610897,109874752,1.135467295,379352958,74203858,19.56063777,0.256765702
16,1.40123E+12,1.04158E+12,0.743336374,18234460408,3895223064,21.36187733,43569017868,217712343,23339804.39,4.63318E+11,5106946562,1.102254823,18253383223,3908902148,21.41467201,0.68779989
32,3862464207,2377933562,0.615651935,62100457,3272675,5.269969269,415865542,11720101,2.818242873,1098315346,30844186,2.808317858,58270250,3166093,5.433463903,0.164324397
32,8261086870,5695100231,0.689388736,121668533,16398091,13.47767627,537819921,12678967,2.357474408,2574437680,56039937,2.176783592,117325572,16859800,14.37009828,0.130727844
32,28293441699,20496727943,0.724433887,377670512,72364233,19.16067861,1104936510,16038505,12921219.44,9676610897,109874752,1.135467295,379352958,74203858,19.56063777,0.190683091
32,1.40123E+12,1.04158E+12,0.743336374,18234460408,3895223064,21.36187733,43569017868,217712343,29951091.33,4.63318E+11,5106946562,1.102254823,18253383223,3908902148,21.41467201,0.882627676
1,6149890312,3862433803,0.628049218,59176943,3340556,5.645029687,838437715,16350270,153929055.7,1776479835,26818635,1.509650404,54789204,3129942,5.712698436,1
1,10605927297,8266561228,0.779428427,114346488,3135936,2.742485628,1247372755,33131649,288559182,3634807667,61589167,1.694427124,110401825,3124761,2.830352669,1
